mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M258,pop-PK,"Frymoyer A, Schwenk HT, Brockmeyer JM, Bio L. Impact of model-informed precision dosing on achievement of vancomycin exposure targets in pediatric patients with cystic fibrosis. Pharmacotherapy. 2023 Oct;43(10):1007-1014. doi: 10.1002/phar.2845. Epub 2023 Jul 11. PMID: 37401162.",Pediatric Patients,vancomycin,cystic fibrosis,37401162,"Retrospective chart review comparing vancomycin dosing and ex-posure in hospitalized children with CF pre-  (July 2014 to October 2018)  and  post-implementation  (November  2018  to  December 2020) of a MIPD CDS tool at a freestanding, academic, quaternary- care children's hospital.",measured,NA
M259,pop-PK,"Damamme A, Urien S, Borgel D, Lasne D, Krug P, Krid S, Charbit M, Salomon R, Treluyer JM, Boyer O. Pharmacokinetics of Enoxaparin After Renal Transplantation in Pediatric Patients. J Clin Pharmacol. 2018 Dec;58(12):1597-1603. doi: 10.1002/jcph.1289. Epub 2018 Sep 26. PMID: 30256422.",Pediatric Patients,Enoxaparin,thrombosis,30256422,"The present cohort study is an openlabel, nonrandomized, retrospective study in pediatric patients. It was carried out at the Necker-Enfants Malades Hospital in Paris, France.",measured,NA
M260,pop-PK,"Willmann S, Frei M, Sutter G, Coboeken K, Wendl T, Eissing T, Lippert J, Stass H. Application of Physiologically-Based and Population Pharmacokinetic Modeling for Dose Finding and Confirmation During the Pediatric Development of Moxifloxacin. CPT Pharmacometrics Syst Pharmacol. 2019 Sep;8(9):654-663. doi: 10.1002/psp4.12446. Epub 2019 Aug 7. PMID: 31310051; PMCID: PMC6765696.",Pediatric Patients,Moxifloxacin,complicated intra‐abdominal infections (cIAIs),31310051,"Data sources
Moxifloxacin PK data were obtained from the following two clinical studies covering an age range from birth to 18 years: a phase I study (N = 31) in pediatric patients18 and a phase III study (N = 451; 301 patients were exposed to moxifloxacin and 150 to a comparator) in pediatric and adolescent patients with cIAIs.19
Data from the pediatric phase I and III trials were pooled for a popPK analysis to characterize the variability of moxifloxacin PK in pediatric patients and to quantify the influence of potential covariates on variability. ","https://www.researchgate.net/profile/Heino-Stass/publication/29839803 _SAFETY_TOLERABILITY_AND_PHARMACOKINETICS_PK_OF_SINGLE_DOSE_INTRAVENOUS_MOXIFLOXACIN_IN_PEDIATRIC_PATIENTS/links/5bec889d92851c6b27be2e75/SAFETY-TOLERABILITY-AND-PHARMACOKINETICS-PK-OF-SINGLE-DOSE-INTRAVENOUS-MOXIFLOXACIN-IN-PEDIATRIC-PATIENTS.pdf

https://journals.lww.com/pidj/fulltext/2018/08000/Moxifloxacin_in_Pediatric_Patients_With.10.aspx?casa_token=l7ror5gsQIAAAAAA:QkBFTDaEEacIqOG8CDKui4BtJCwUJx6ARLNKdCaTEOz2dZMWD0AK961JZolNUYph0M8EhTmIfyg9fwfUtPkmpI16",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6765696/bin/PSP4-8-654-s002.txt
M261,pop-PK,"Har-Even R, Stepensky D, Britzi M, Soback S, Chaim AB, Brandriss N, Goldman M, Berkovitch M, Kozer E. Plasma and cerebrospinal fluid concentrations of ibuprofen in pediatric patients and antipyretic effect: Pharmacokinetic-pharmacodynamic modeling analysis. J Clin Pharmacol. 2014 Sep;54(9):1023-30. doi: 10.1002/jcph.307. Epub 2014 Apr 21. PMID: 24733245.",Pediatric Patients,ibuprofen,fever,24733245,"Study Design
A prospective cohort of children and infants treated with ibuprofen was studied. The study was conducted from July 1, 2008 to March 31, 2011 at Assaf Harofeh Medical Center, a University-affiliated hospital in central Israel. The study protocol has been approved by the hospital ethics committee, and the study was registered at Clinicaltrials.gov as NCT01099462",https://clinicaltrials.gov/study/NCT01099462,NA
M262,pop-PK,"Mizuno T, O'Brien MM, Vinks AA. Significant effect of infection and food intake on sirolimus pharmacokinetics and exposure in pediatric patients with acute lymphoblastic leukemia. Eur J Pharm Sci. 2019 Feb 1;128:209-214. doi: 10.1016/j.ejps.2018.12.004. Epub 2018 Dec 8. PMID: 30537529.",Pediatric Patients,sirolimus,acute lymphoblastic leukemia,30537529,2.1. Study design and subjects Clinical PK data were collected as part of a prospective pilot study of sirolimus with multi-agent chemotherapy for relapsed/refractory acute lymphoblastic leukemia (ALL) or lymphoblastic lymphoma (ClinicalTrial.gov identifier: NCT01658007).,https://clinicaltrials.gov/study/NCT01658007,NA
M263,pop-PK,"Mahmood I, Tegenge MA. Population Pharmacokinetics: Some Observations in Pediatric Modeling for Drug Clearance. Clin Pharmacokinet. 2017 Dec;56(12):1567-1576. doi: 10.1007/s40262-017-0542-4. PMID: 28405936.",Pediatric Patients,fentanyl/gentamicin/theophylline/vancomycin. ,NA,28405936,"Table S1: Demographics for model development for four drugs

Table S2: Demographics for model validation for four drugs",https://static-content.springer.com/esm/art%3A10.1007%2Fs40262-017-0542-4/MediaObjects/40262_2017_542_MOESM1_ESM.doc,NA
M264,pop-PK,"Chandasana H, Thapar M, Hayes S, Baker M, Gibb DM, Turkova A, Ford D, Ruel T, Wiznia A, Fairlie L, Bwakura-Dangarembizi M, Mujuru H, Alvero C, Farhad M, Hazra R, Townley E, Buchanan A, Bollen P, Waalewijn H, Colbers A, Burger D, Acosta EP, Singh R; IMPAACT P1093, ODYSSEY (PENTA 20) Study Teams. Population Pharmacokinetic Modeling of Dolutegravir to Optimize Pediatric Dosing in HIV-1-Infected Infants, Children, and Adolescents. Clin Pharmacokinet. 2023 Oct;62(10):1445-1459. doi: 10.1007/s40262-023-01289-5. Epub 2023 Aug 21. PMID: 37603217; PMCID: PMC10520196.","Infants, Children, and Adolescents",Dolutegravir,HIV-1,37603217,"Two pediatric studies generated individual PK data in children with DTG FCT and DT formulations. The International Maternal Pediatric Adolescent AIDS Clinical Trials (IMPAACT) Network P1093 study, a phase I/II, multicenter, open-label, single-arm trial of HIV-1-infected children and adolescents aged 4 weeks to < 18 years who were either treatment naïve or treatment experienced [8, 9] and the ODYSSEY Study conducted by PENTA (Paediatric European Network for the Treatment of AIDS), a phase II/III, multicenter, open-label, randomized, non-inferiority, two-arm trial comparing the efficacy and safety of DTG plus two nucleoside reverse transcriptase inhibitors versus standard of care in HIV-infected children aged at least 28 days and < 18 years starting first-line ART or switching to second-line ART [10, 11]. The ODYSSEY study also included nested PK sub-studies to evaluate DTG dosing.",Supplementary Text 1. Final PK model code,"Supplementary Materials-https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10520196/bin/40262_2023_1289_MOESM1_ESM.docx(Supplementary Text 1. Final PK model code)
"
M265,pop-PK,"Brooks Peterson M, Cohen MN, O'Neill BR, Garg S, Child J, Henthorn TK, Galinkin JG. Preoperative Vancomycin Administration for Surgical Site Prophylaxis: Plasma and Soft-Tissue Concentrations in Pediatric Neurosurgical and Orthopedic Patients. Anesth Analg. 2020 May;130(5):1435-1444. doi: 10.1213/ANE.0000000000004340. PMID: 31397701.",Pediatric Patients,Vancomycin,gram-positive bacterial infections8,31397701,"Clinical Trial Number and Registry URL: National Clinical Trial (NCT) 03453684, https://clinicaltrials.gov/ct2/show/NCT03453684.",https://clinicaltrials.gov/ct2/show/NCT03453684,NA
M266,pop-PK,"Rong Y, Wichart J, Hamiwka L, Kiang TKL. Significant Effects of Renal Function on Mycophenolic Acid Total Clearance in Pediatric Kidney Transplant Recipients with Population Pharmacokinetic Modeling. Clin Pharmacokinet. 2023 Sep;62(9):1289-1303. doi: 10.1007/s40262-023-01280-0. Epub 2023 Jul 26. PMID: 37493886.",Pediatric Patients,Mycophenolic acid (MPA) ,graft rejection,37493886,"This was a population pharmacokinetic analysis of retrospectively collected pediatric kidney transplant data in patients enrolled from January 2004 to November 2020 in the Pediatric Nephrology Clinic at Alberta Children’s Hospital (Calgary, Alberta, Canada).",measured,NA
M267,pop-PK,"Chen Y, Shen Q, Dong M, Xiong Y, Xu H, Li Z. Population Pharmacokinetics of Rituximab in Pediatric Patients With Frequent-Relapsing or Steroid-Dependent Nephrotic Syndrome. Front Pharmacol. 2021 Sep 2;12:725665. doi: 10.3389/fphar.2021.725665. PMID: 34539407; PMCID: PMC8443776.",Pediatric Patients,Rituximab,Frequent-Relapsing or Steroid-Dependent Nephrotic Syndrome,34539407,"A prospective, open-label, single-center PK study was conducted in Nephrology Department at Children’s Hospital of Fudan University between January and July 2017.",measured,NA
M268,pop-PK,"Michelet R, Van Bocxlaer J, Allegaert K, Vermeulen A. The use of PBPK modeling across the pediatric age range using propofol as a case. J Pharmacokinet Pharmacodyn. 2018 Dec;45(6):765-785. doi: 10.1007/s10928-018-9607-8. Epub 2018 Oct 8. PMID: 30298439.",Pediatric Patients,propofol,pain,30298439,"Population analysis of available in vivo adult data
In order to obtain a reliable benchmark value to (1) compare the PBPK model to, and (2) use to construct a retrograde PBPK model, several data sets were collected from literature. Plasma concentration–time data from Eleveld et al. [5], Smuszkiewicz et al. [54] and Campbell et al. [53, 56] were obtained and are summarized in Table 2.","Table 2 Propofol PK data collected from literature(https://link.springer.com/article/10.1007/s10928-018-9607-8/tables/2)-
https://journals.lww.com/anesthesia-analgesia/fulltext/2014/06000/a_general_purpose_pharmacokinetic_model_for.12.aspx
https://onlinelibrary.wiley.com/doi/10.1002/bdd.2028
https://bpspubs.onlinelibrary.wiley.com/doi/10.1111/j.1365-2125.1988.tb03386.x",NA
M269,pop-PK,"Wang H, Huang L, Wang J, Ni Y, Zhu Z, Gao P, Hu Y, Zhang L, Yang J, Fang L. Population Pharmacokinetic Study of Vancomycin in Chinese Pediatric Patients with Hematological Malignancies. Pharmacotherapy. 2020 Dec;40(12):1201-1209. doi: 10.1002/phar.2473. Epub 2020 Nov 18. PMID: 33070357.",Pediatric Patients,Vancomycin,Hematological Malignancies,33070357,"Pediatric patients with hematological malignancies who received intravenous vancomycin were retrospectively collected from February 2017 to December 2018 in the hematology department of Children’s Hospital, Zhejiang University School of Medicine.",measured,NA
M270,pop-PK,"Masters JC, Barry E, Knight B. Population Pharmacokinetics of Gemtuzumab Ozogamicin in Pediatric Patients with Relapsed or Refractory Acute Myeloid Leukemia. Clin Pharmacokinet. 2019 Feb;58(2):271-282. doi: 10.1007/s40262-018-0694-x. PMID: 30022367.",Pediatric Patients,Gemtuzumab Ozogamicin,Relapsed or Refractory Acute Myeloid Leukemia,30022367,"This popPK analysis is based on clinical data from the 0903A1-102-US phase I/II pediatric study, which assessed the safety and maximum tolerated dose of GO in 29 patients (14 male, 15 female) aged ≤ 17  years with previously
relapsed/refractory CD33+ AML.",measured,NA
M271,pop-PK,"Xu C, Gupta S, Krishna G, Cutler D, Wirth S, Galoppo C, Ciocca M, Kolz K, Noviello S, Sniukiene V. Population pharmacokinetics of peginterferon alfa-2b in pediatric patients with chronic hepatitis C. Eur J Clin Pharmacol. 2013 Dec;69(12):2045-54. doi: 10.1007/s00228-013-1574-9. Epub 2013 Aug 24. PMID: 23975236.",Pediatric Patients,peginterferon alfa-2b,chronic hepatitis C,23975236,"This was a multicenter, open-label phase 1b/3 study conducted at 22 sites in the United States, European Union, and Latin America [10]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755275/,NA
M272,pop-PK,"Maier G, Rubino C, Hsu R, Grasela T, Baumgartner RA. Population pharmacokinetics of (R)-albuterol and (S)-albuterol in pediatric patients aged 4-11 years with asthma. Pulm Pharmacol Ther. 2007;20(5):534-42. doi: 10.1016/j.pupt.2006.05.003. Epub 2006 May 27. PMID: 16891136.",Pediatric Patients,(R)-albuterol/(S)-albuterol,asthma,16891136,"The data for this analysis were collected from 4–11 years old patients enrolled in a randomized, double-blind, multicenter, placebo- and active-controlled study evaluating the safety and efficacy of levalbuterol (XOPENEX, Sepracor Inc.s) in asthmatic children. This study was approved by local institutional review boards. The details of this study have been reported elsewhere, but are described briefly below [20]",https://linkinghub.elsevier.com/retrieve/pii/S0091-6749(01)37216-0,NA
M273,pop-PK,"Shi J, Ludden TM, Melikian AP, Gastonguay MR, Hinderling PH. Population pharmacokinetics and pharmacodynamics of sotalol in pediatric patients with supraventricular or ventricular tachyarrhythmia. J Pharmacokinet Pharmacodyn. 2001 Dec;28(6):555-75. doi: 10.1023/a:1014412521191. PMID: 11999292.",Pediatric Patients,sotalol,supraventricular or ventricular tachyarrhythmia,11999292,"The results obtained in the PK and PK–PD studies using traditional data analysis approaches have already been published (11,12).","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1067/mcp.2001.113795?sid=nlm%3Apubmed
https://accp1.onlinelibrary.wiley.com/doi/abs/10.1177/00912700122009818?sid=nlm%3Apubmed",NA
M274,pop-PK,"Moffett BS, Weingarten MM, Schmees LR, Galati M, Erklauer J, Riviello JJ. Fosphenytoin Population Pharmacokinetics in the Acutely Ill Pediatric Population. Pediatr Crit Care Med. 2018 Aug;19(8):748-754. doi: 10.1097/PCC.0000000000001627. PMID: 29927880.",Pediatric Patients,Fosphenytoin,adverse events related to infusion,29927880,"A retrospective descriptive population pharmacokinetic study was designed, and it was approved by the Baylor College of Medicine and Affiliated Institutions Institutional Review Board. Patients were identified by querying the hospital electronic medical record system for patients who received fosphenytoin in the emergency center or PICU at our institution from January 1, 2011, to June 30, 2017.",measured,NA
M275,pop-PK,"Ten Brink MH, Ackaert O, Zwaveling J, Bredius RG, Smiers FJ, den Hartigh J, Lankester AC, Guchelaar HJ. Pharmacokinetics of treosulfan in pediatric patients undergoing hematopoietic stem cell transplantation. Ther Drug Monit. 2014 Aug;36(4):465-72. doi: 10.1097/FTD.0000000000000047. PMID: 24487253.",Pediatric Patients,treosulfan,graft rejection,24487253,Pediatric patients (#18 years) receiving treosulfan-based conditioning before their allogeneic hematopoietic stem cell transplantation (HSCT) in the Leiden University Medical Center in the Netherlands were included,measured,NA
M276,pop-PK,"Ricci Z, Benegni S, Cies JJ, Marinari E, Haiberger R, Garisto C, Rizza A, Giorni C, Di Chiara L, Arpicco S, Muntoni E, Ferrari F, Milla P. Population Pharmacokinetics of Cefoxitin Administered for Pediatric Cardiac Surgery Prophylaxis. Pediatr Infect Dis J. 2020 Jul;39(7):609-614. doi: 10.1097/INF.0000000000002635. PMID: 32221166.",Pediatric Patients,Cefoxitin,cardiopulmonary bypass (CPB),32221166,"This was a prospective, single center, open label, interventional clinical trial conducted at Bambino Gesù Children’s Hospital, Rome, Italy, for the determination of cefoxitin serum concentrations during pediatric cardiac surgery utilizing CPB.",measured,NA
M277,pop-PK,"Kuhle S, Massicotte P, Dinyari M, Vegh P, Mitchell D, Marzinotto V, Chan A, Pieniaszek H, Mitchell LG. Dose-finding and pharmacokinetics of therapeutic doses of tinzaparin in pediatric patients with thromboembolic events. Thromb Haemost. 2005 Dec;94(6):1164-71. doi: 10.1160/TH05-03-0215. PMID: 16411388.",Pediatric Patients,tinzaparin,thrombosis,16411388,"Children admitted to the Hospital for Sick Children (Toronto, Canada) were eligible for this open-label Phase II study if they were between 36 weeks gestational age and 16 years of age, had an objectively confirmed thromboembolic event requiring anticoagulation treatment and had signed informed consent",measured,NA
